fullNames,postDates,starRatings,postReviews,totalReviews,aggregateRating
Mervin Ng,a year ago,5,"Professional service by the therapist, highly recommend to try their facial service",6,5.0
Daniel Lim,a year ago,5,"Good service and friendly stuff, highly recommend",6,5.0
Alex Chow,a year ago,5,Friendly therapist and good service,6,5.0
Khainn Lee,4 years ago,5,,6,5.0
Kenz Chew,a year ago,5,,6,5.0
Alex chow,4 years ago,5,,6,5.0
